CIK NUMBER,COMPANY NAME,REPORTING FILE NUMBER,ADDRESS1,ADDRESS2,CITY,STATE CODE,ZIP CODE
1699246,"EC SECURITIES, LLC",869913,900 KEARNY ST,STE 500,SAN FRANCISCO,CA,94133
1699854,REDBRIDGE SECURITIES LLC,869915,7300 LONE STAR DR STE C200,,PLANO,TX,75024
1699855,"ROBINHOOD SECURITIES, LLC",869916,500 COLONIAL CENTER PKWY,STE 100,LAKE MARY,FL,32746
1700547,"PARKSIDE SECURITIES, INC.",869921,1948 EVERIDGE CT,,WALNUT CREEK,CA,94597
1701383,"POLARIS PRIVATE PLACEMENTS, LLC",869922,735 JOHNNIE DODDS BLVD,STE 105,MT PLEASANT,SC,29464
1701384,INVICTA CAPITAL LLC,869923,2790 MOSSIDE BLVD,STE 530,MONROEVILLE,PA,15146
1701774,THE FORBES SECURITIES GROUP LLC,869926,6400 S FIDDLERS GREEN CIR,STE 850,GREENWOOD VLG,CO,80111
1702580,ALPACA SECURITIES LLC,869928,PO BOX 6221,SUITE 2,HAYWARD,CA,94540
1702706,BUMPED FINANCIAL LLC,869929,PO BOX 8221,SUITE 150,PORTLAND,OR,97207
1703218,"DOEREN MAYHEW CAPITAL ADVISORS, LLC",869931,2600 NORTH LOOP W STE 600,,HOUSTON,TX,77092
1703219,"EIG GLOBAL ENERGY PARTNERS CAPITAL MARKETS, LLC",869932,600 NEW HAMPSHIRE AVE NW,STE 1200,WASHINGTON,DC,20037
1703423,"VISION ONE PARTNERS, LLC",869935,1 GRACIE SQ,,NEW YORK,NY,10028
1703888,"DALZELL TRADING, LLC",869938,250 E BEAVER AVE,STE 772,STATE COLLEGE,PA,16801
1703890,"WINLO MANAGEMENT GROUP, LLC",869940,4300 BISCAYNE BLVD STE 203,,MIAMI,FL,33137
1704229,"WILDERMUTH SECURITIES, LLC",869943,818 A1A N,STE 301,PONTE VEDRA,FL,32082
1704230,A5 SECURITIES LLC,869944,414 W 51ST ST APT 1,,NEW YORK,NY,10019
1705592,"BP SECURITIES, LLC",869951,11100 NE 8TH ST STE 400,,BELLEVUE,WA,98004
1706134,"TORREYA CAPITAL, LLC",869954,555 MADISON AVE STE 1201,,NEW YORK,NY,10022
1707353,"KCM SECURITIES, LLC",869959,20 PACIFICA,STE 450,IRVINE,CA,92618
1707699,CROWDVEST SECURITIES LLC,869962,21 SOVEREIGN WAY,STE 3,HUTCHINSON IS,FL,34949
1708825,"HEADLANDS TECHNOLOGIES SECURITIES, LLC",869969,444 W LAKE ST,STE 4650,CHICAGO,IL,60606
1708826,INTELLIGENT CROSS LLC,869970,1266 E MAIN ST,STE 700R,STAMFORD,CT,6902
1708829,AIP CAPITAL MARKETS LLC,869973,6 SADDLEHORN LN,,RLLNG HLS EST,CA,90274
1709585,WEBULL FINANCIAL LLC,869978,44 WALL ST,FL 2,NEW YORK,NY,10005
1711358,XLII FINANCIAL SERVICES LLC,869986,10023 APPLE CREEK DR,,DALLAS,TX,75243
1711788,"GLMX TECHNOLOGIES, LLC",869987,330 7TH AVE FL 17,,NEW YORK,NY,10001
1711973,"PLUM CAPITAL, LLC",869988,5640 W MAPLE RD STE 101,,W BLOOMFIELD,MI,48322
1711974,COMMONGOOD SECURITIES LLC,869989,824 HIGHLAND AVE STE 207,,ORLANDO,FL,32803
1712664,"HUBBLE INVESTMENTS, LLC",869995,1 FRANKLIN PKWY,BLDG 930,SAN MATEO,CA,94403
1713179,STORY3 ADVISORS LLC,869997,1624 MARKET ST,STE 226,DENVER,CO,80202
1713330,ARQ ADVISORS LLC,870000,31 OCEAN TER,STE A,LONG BRANCH,NJ,7740
1714418,GALAXY DIGITAL PARTNERS LLC,870001,1 N END AVE FL 13,,NEW YORK,NY,10282
1714419,CONSENSYS DIGITAL SECURITIES LLC,870002,100 BOGART ST FL 3,,BROOKLYN,NY,11206
1715136,"FIRST PALLADIUM, LLC",870007,888 S HARRISON ST STE 900,,FORT WAYNE,IN,46802
1716623,"GRAY OAK CAPITAL, LLC",870014,537 STEAMBOAT RD STE 200,,GREENWICH,CT,6830
1717675,"LFT SECURITIES, LLC",870015,425 WALNUT ST STE 2410,,CINCINNATI,OH,45202
1717774,VELOX CLEARING LLC,870017,2400 E KATELLA AVE,STE 725,ANAHEIM,CA,92806
1717775,MCDONNAUGH SECURITIES LLC,870018,PO BOX 203,,BALDWIN,NY,11510
1717776,"STRATOS WEALTH SECURITIES, LLC",870019,3750 PARK EAST DR,STE 200,BEACHWOOD,OH,44122
1717926,"BD4RIA, INC.",870022,3520 W VICKERY BLVD,,FORT WORTH,TX,76107
1717927,"SPEYSIDE ADVISORS, LLC",870023,1910 PACIFIC AVE STE 14183,,DALLAS,TX,75201
1718037,"LINDEN THOMAS AND COMPANY SECURITIES, LLC",870026,516 N TRYON ST,,CHARLOTTE,NC,28202
1718251,"FORTRESS PRIVATE LEDGER, LLC",870027,3110 EDWARDS MILL RD STE 200,,RALEIGH,NC,27612
1718305,"PHASE ONE FINANCIAL SERVICES, LLC",870028,450 LEXINGTON AVE,FL 4,NEW YORK,NY,10017
1719050,"DRW EXECUTION SERVICES, LLC",870030,540 W MADISON ST,STE 2500,CHICAGO,IL,60661
1719110,"JVM SECURITIES, LLC",870032,903 COMMERCE DR STE 250,,OAK BROOK,IL,60523
1719196,EURONEXT MARKET SERVICES LLC,870033,180 MAIDEN LN,FL 15,NEW YORK,NY,10038
1719689,"ROBERTSON STEPHENS CAPITAL MARKETS, LLC",870034,455 MARKET ST,STE 1600,SAN FRANCISCO,CA,94105
1719863,"BANCROFT CAPITAL, LLC",870035,501 OFFICE CENTER DR,STE 130,FT WASHINGTON,PA,19034
1719864,SAN BLAS SECURITIES LLC,870036,3424 PEACHTREE RD NE,STE 2200,ATLANTA,GA,30326
1721271,SURFTRADE LLC,870041,5704 LUNADA LN,,LONG BEACH,CA,90814
1721272,PRIME DECISION CONSULTING LLC,870042,1221 OCEAN AVE APT 908,,SANTA MONICA,CA,90401
1721381,"180 DEGREE CAPITAL BD, LLC",870044,7 N WILLOW ST STE 4B,,MONTCLAIR,NJ,7042
1721687,"SOUTHERN WEALTH SECURITIES, LLC",870048,5005 LBJ,STE 1313,DALLAS,TX,75244
1722517,SIMON MARKETS LLC,870052,368 9TH AVE,# 16,NEW YORK,NY,10001
1723359,KAL CAPITAL MARKETS LLC,870053,3738 BAYER AVE STE 103,,LONG BEACH,CA,90808
1723503,"NEXTSEED SECURITIES, LLC",870055,3131 EASTSIDE ST,STE 110,HOUSTON,TX,77098
1724168,VIRTUS CAPITAL MARKETS LLC,870057,20 SIGNAL RD,,STAMFORD,CT,6902
1725012,STARTENGINE PRIMARY LLC,870060,3900 W ALAMEDA AVE,STE 1200,BURBANK,CA,91505
1726309,"AMERICAN VETERANS GROUP, PBC",870063,324 S SERVICE RD,STE 107,MELVILLE,NY,11747
1726589,FUSION PARTNERS GLOBAL LLC,870064,205 E 59TH ST,APT 12B,NEW YORK,NY,10022
1727408,ASPIRATION FINANCIAL LLC,870066,4551 GLENCOE AVE,STE 300,MARINA DL REY,CA,90292
1727861,PROSPERUM SECURITIES LLC DBA AVANT-GARDE TRADING SECURIT,870068,230 W MONROE ST,STE 845,CHICAGO,IL,60606
1728956,D-MERC SERVICES LLC,870072,375 BALSAM ST,STE 203,LAKEWOOD,CO,80226
