COMPANY_ID,NAME,CITY,STATE
501,OLD NATIONAL BANK,EVANSVILLE,IN
502,BANK OF THE WEST,TEMPE,AZ
503,BANK OZK,DALLAS,TX
504,CHINA MERCHANTS BANK CO LTD,NEW YORK,NY
505,BANK OF AMERICA NA,NEW YORK,NY
506,THE HUNTINGTON NATIONAL BANK,COLUMBUS,OH
507,CENTENNIAL BANK,CONWAY,AR
508,CITY NATIONAL BANK,GLENDALE,CA
509,CIBC BANK USA,CHICAGO,IL
510,SALLIE MAE BANK,NEWARK,DE
511,SIEMENS FINANCIAL SERVICES INC,MALVERN,PA
512,ENOVA FINANCIAL HOLDINGS LLC,CHICAGO,IL
513,EDELMAN FINANCIAL ENGINES LLC,ATLANTA,GA
514,FIRST COMMAND FINANCIAL SERVICES INC,FORT WORTH,TX
515,MAGNUS FINANCIAL GROUP LLC,NEW YORK,NY
516,PT FINANCIAL COMPANIES LLC,CHICAGO,IL
517,MASSACHUSETTS FINANCIAL SERVICES COMPANY,BOSTON,MA
518,SUN LIFE FINANCIAL (US) SERVICES COMPANY INC,WELLESLEY HILLS,MA
519,FIRST COMMAND FINANCIAL SERVICES INC,FORT WORTH,TX
520,FINANCIAL ENGINES INC,PHOENIX,AZ
521,CHEQUERS FINANCIAL MANAGEMENT LLC,SAN FRANCISCO,CA
522,QUANTUM FINANCIAL ADVISORS INC,ROCKVILLE,MD
523,MENAI FINANCIAL GROUP LLC,NEW YORK,NY
524,GLOBAL ATLANTIC FINANCIAL COMPANY,BRIGHTON,MA
525,FINANCIAL TECHNOLOGY PARTNERS LP,NEW YORK,NY
526,ALLIANZ GLOBAL INVESTORS US LLC,SAN FRANCISCO,CA
527,PHARO MANAGEMENT INC,NEW YORK,NY
528,AMUNDI US INC,BOSTON,MA
529,GROWTH STREET MANAGEMENT LLC,SAN FRANCISCO,CA
530,GRESHAM PARTNERS LLC,CHICAGO,IL
531,SUMMIT GLORY LLC,NEW YORK,NY
532,QUADRO PARTNERS INC,NEW YORK,NY
533,YIELDSTREET INC,NEW YORK,NY
534,FIRST SENTIER INVESTORS (US) LLC,NEW YORK,NY
535,BANCO ITAU INTERNATIONAL,MIAMI,FL
536,NEXT HORIZON ADVISORS LLC,PRINCETON,NJ
537,FIDELITY & GUARANTY LIFE BUSINESS SERVICES INC,DES MOINES,IA
538,K2 D&S MANAGEMENT CO LLC,STAMFORD,CT
539,DYAL PARTNERS LP,NEW YORK,NY
540,KIMC (US) INC,ARLINGTON,VA
541,QUANTITATIVE MANAGEMENT ASSOCIATES LLC,NEWARK,NJ
542,WBL CALIFORNIA LLC,ELMSFORD,NY
543,CREDIGY SOLUTIONS INC,NORCROSS,GA
544,BROWN BROTHERS HARRIMAN & CO,NEW YORK,NY
545,HARDING LOEVNER LP,BRIDGEWATER,NJ
546,TETRA IMPACT PARTNERS LLC,NEW YORK,NY
547,BRIDGEWATER ASSOCIATES LP,WESTPORT,CT
548,ACCESS VENTURES INC,LOUISVILLE,KY
549,JPMORGAN CHASE & CO,JERSEY CITY,NJ
550,J GOLDMAN & CO LP,NEW YORK,NY
551,UBS SERVICES LLC,WEEHAWKEN,NJ
552,GATEWOOD WEALTH SOLUTIONS,ST. LOUIS,MO
553,B RILEY FBR INC,NEW YORK,NY
554,ALTISOURCE SOLUTIONS INC,PLANO,TX
555,PEOPLE'S UNITED ADVISORS INC,NEW YORK,NY
556,SOROS FUND MANAGEMENT LLC,NEW YORK,NY
